,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0,10.0,0,7.0,0,10,0,10,10,4.607631389488841,0.10799136069114472,10.0,7,0,0,2.402912621359224,7.0,7.0,0.0,5.0,20,15,15,13.0,7,7,7,16.6,15.763012420394027,7,7,0,0.0,9.99,13.3125,0,0.11560693641618497,19.128,6.2,10,0,7,7,0,0,0,7,25.0,15.458579881656805,19.223929942088642,10,20,0.0,21.0,10,20,0,25,0,0,7,40,26.6344
1,7,10.0,7,7.0,0,10,0,10,10,0.39714058776806993,9.928514694201747,10.0,7,0,0,5.303030303030303,7.0,7.0,0.0,1.1317060677169066,20,10,15,16.06,7,0,0,16.6,16.506915273701672,7,7,7,0.0,9.99,3.3226797832446495,7,11.409722222222221,8.379999999999999,0.35200000000000004,10,10,7,0,0,7,0,7,0.0,12.418342633107194,18.721748080799415,10,20,0.0,24.0,10,20,0,25,0,0,7,40,26.0156
2,0,7.5,7,4.9,0,10,0,10,0,0.533175355450237,1.4218009478672986,0.4125412541254125,7,0,0,0.46403712296983757,4.706896551724138,0.0,0.0,0.0,20,25,15,13.4,7,0,0,50.0,25.70479425677341,7,7,7,6.999999999999999,9.99,11.632587479171626,0,3.1818181818181817,19.8,3.4000000000000004,0,10,7,7,7,0,7,7,0.0,10.576346317909568,20.0,10,20,30.0,16.5,10,10,15,25,15,20,7,30,65.0
3,0,0.0,7,2.8,0,10,0,10,10,0.5454545454545455,2.772727272727273,9.230769230769232,0,0,10,1.3333333333333333,5.055555555555555,5.25,0.29450549450549446,0.0,0,0,15,0.0,7,0,0,27.214992440878845,15.195762711864408,0,7,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10,10,0,7,7,0,0,7,,0.0,0.0,0,0,,18.0,0,0,0,0,0,0,0,30,40.82
4,7,10.0,7,7.0,0,10,0,10,0,4.107142857142857,5.952380952380951,10.0,7,0,0,4.036697247706423,7.0,7.0,0.0,2.0498223230203876,20,20,15,14.600000000000001,7,7,7,16.6,15.293624738097979,7,7,7,5.696673516271378,9.99,6.584331370365181,7,2.269230769230769,14.780000000000001,7.800000000000001,10,10,7,7,7,7,0,7,0.0,16.255298785977118,18.605880361007642,10,20,0.0,27.0,10,20,15,25,0,20,7,40,29.4788
5,7,7.5,7,1.4,0,0,0,0,0,0.620347394540943,3.1327543424317614,10.0,0,0,10,1.28,5.021739130434782,7.0,0.0,2.0,20,10,15,0.0,7,7,0,16.6,15.000190125261494,7,7,0,6.663242006559297,9.99,3.0729594247546475,0,1.5789473684210527,10.600000000000001,4.6000000000000005,10,0,7,7,0,0,0,7,0.0,12.988608221892026,20.0,10,20,30.0,7.5,10,10,0,25,0,0,7,40,26.26
6,7,10.0,7,7.0,0,10,0,10,10,1.1235955056179776,1.4300306435137897,2.0823360459550027,7,0,0,0.5235602094240838,4.5606060606060606,7.0,0.005940207867771015,5.0,20,20,15,15.66,7,7,0,50.0,17.713032515070932,7,7,0,0.0,3.33,8.692493200362646,7,1.4953271028037383,9.6,4.6000000000000005,10,10,7,0,0,0,0,0,25.0,13.934426229508198,0.0,10,20,30.0,24.0,10,20,15,25,0,0,7,40,41.86
7,0,10.0,0,4.2,0,10,0,0,0,1.3442044953724106,4.385191714411635,10.0,7,0,0,1.7391304347826086,7.0,7.0,0.0,0.0,0,0,0,0.0,0,0,0,27.12494225471614,15.27,0,0,7,0.0,9.99,10.158693082952881,0,0.3448275862068966,0.0,0.0,0,10,7,0,0,0,0,0,0.0,10.714872637633524,0.0,5,20,30.0,27.0,10,20,15,25,15,20,7,20,27.6042
8,7,7.5,0,4.9,0,10,0,10,10,0.32833436862188303,0.8607684799006122,1.686711645643884,7,0,0,0.6976744186046512,5.73404255319149,7.0,0.0,4.539762963325363,20,15,15,12.2,7,7,0,50.0,16.831428075683046,7,7,7,0.0,6.66,0.0,0,0.08552631578947369,4.4,2.8000000000000003,0,10,7,7,7,0,0,7,0.0,12.843526608419381,0.0,5,20,0.0,0.0,10,20,0,25,0,0,7,30,26.52
9,7,10.0,7,7.0,0,10,0,10,0,0.36382536382536385,1.5800415800415801,0.0,7,0,0,1.0200364298724955,6.416666666666667,0.0,0.13081052838419072,5.0,20,10,15,22.0,7,7,7,50.0,0.0,7,7,0,7.0,9.99,9.87434410061997,0,1.7241379310344829,15.14,8.36,0,10,7,7,7,7,0,7,0.0,15.994328922495274,19.472406100075304,10,20,30.0,24.0,10,20,15,25,0,0,7,40,0.0
