,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,7,10.0,0,2.8,7,10,7,0,10,10.0,10.0,0.7022471910112359,7,10,10,2.0,5.727272727272727,7.0,0.42419849787799435,5.0,20,15,0,14.600000000000001,7,7,0,50.0,0.0,7,7,0,0.0,9.99,0.0,0,10.0,0.0,0.0,10,10,7,0,0,0,0,0,0.0,12.307692307692308,12.105263157894736,10,20,30.0,0.0,10,10,0,0,0,0,7,40,0.0
1,0,10.0,7,7.0,7,10,7,10,10,3.552206673842842,2.099031216361679,10.0,7,10,0,0.8064516129032258,5.6,7.0,0.0,6.085106382978723,20,20,0,14.0,7,7,7,50.0,24.424733098271435,7,7,0,4.873225,9.99,0.0,0,0.2777777777777778,19.0,3.0,10,10,7,0,0,7,0,0,25.0,15.365329512893982,19.932019034670294,10,20,30.0,27.0,10,30,15,25,0,20,7,30,52.0
2,7,10.0,7,7.0,7,10,7,10,10,1.4757219930180892,3.1894636623294192,10.0,7,10,0,2.9012345679012346,7.0,7.0,0.0,8.0,20,20,0,11.26,7,7,7,18.659751129952422,33.17353217241387,7,7,7,7.0,9.99,7.89006838096603,0,2.859154929577465,18.074,11.026,10,10,7,7,7,7,7,7,0.0,14.214818428939846,20.0,10,20,30.0,30.0,10,30,15,25,15,0,7,40,27.56
3,7,10.0,7,7.0,7,10,7,10,10,3.3460522453771646,10.0,10.0,7,10,0,1.507936507936508,7.0,7.0,0.0,5.837396351575456,20,25,0,12.72,7,7,7,50.0,15.018558365864315,7,7,7,7.0,9.99,8.25,0,0.08771929824561403,16.0,3.54,10,0,7,7,7,7,0,7,0.0,13.23578330429273,19.361982021486515,10,20,30.0,30.0,10,30,15,25,15,0,7,40,40.531400000000005
4,7,10.0,7,7.0,7,10,7,10,10,2.1505376344086025,9.086021505376344,3.737373737373737,7,10,0,4.545454545454545,7.0,1.75,0.0,3.653543307086614,20,20,0,12.4,7,7,7,50.0,15.01483596630839,0,0,0,7.0,9.99,8.25,0,0.0,4.699999999999999,2.64,10,10,7,7,0,7,0,0,5.192001233742804,17.18980500985905,19.436858644567423,10,20,30.0,24.0,10,30,15,25,0,0,7,40,28.6
5,7,10.0,7,7.0,7,10,7,10,10,1.1329017517136328,2.7322924600152323,3.5238993013197293,7,10,10,4.461538461538462,7.0,7.0,0.0,6.911022199748711,20,25,15,12.85,7,7,7,16.6,17.259976221392897,7,7,7,6.968106345405277,9.99,11.699973231494038,7,8.769633507853403,12.6,5.8,10,10,7,7,7,7,7,7,25.0,13.001706553279513,18.75952631153504,10,20,27.92482767486053,30.0,10,30,15,25,15,20,7,40,28.6
6,0,0.0,0,0.0,7,10,7,0,0,0.0,0.0,2.631578947368421,7,0,0,4.166666666666668,7.0,5.25,0.0,8.0,20,25,0,11.4,7,7,0,0.0,27.165845199837904,0,0,0,0.0,0.0,0.0,0,9.0,16.0,2.8000000000000003,0,10,0,7,0,0,7,7,,12.25563909774436,0.0,0,20,,0.0,0,10,0,25,0,0,0,10,29.9
7,7,10.0,7,6.300000000000001,7,10,7,10,0,6.80379746835443,5.379746835443038,10.0,7,10,10,2.608695652173913,7.0,7.0,0.0,0.0,20,15,0,11.66,7,7,7,46.57054269647802,15.531018431451537,7,7,0,7.0,9.99,13.362535930498861,7,2.4657534246575343,14.399999999999999,1.6,0,10,7,7,7,7,0,7,25.0,12.3532614530452,0.0,10,20,0.0,24.0,10,30,0,25,0,0,7,40,30.7268
8,7,10.0,7,7.0,7,0,7,10,10,0.7350539039529567,4.606337798105194,10.0,7,10,0,4.0,7.0,7.0,0.0,5.296755648766423,20,10,0,12.0,7,0,7,50.0,15.000000178890657,7,7,0,6.58853912792631,3.33,2.7068377231893836,0,1.0365853658536586,0.0,0.0,10,10,7,7,7,7,0,0,0.0,16.410047840448065,15.294463633899792,10,20,0.0,30.0,10,30,15,25,0,0,7,40,13.0
9,7,7.5,7,7.0,7,10,7,10,0,4.2695130086724475,3.135423615743829,0.0,7,10,0,2.2988505747126435,5.409090909090909,7.0,0.3945181834298662,0.22945494194069582,20,0,0,12.38,7,0,0,16.6,15.237150815810717,7,7,0,0.0,3.33,5.822662999357816,0,0.7909604519774012,10.4,3.9000000000000004,0,0,7,0,0,0,0,7,0.0,11.656475502590604,18.46193664547347,5,20,0.0,0.0,10,30,15,25,0,0,7,40,0.0
